"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"13865","030010001","209-9","250156","1114013","0050","G12C47","U","Baja California Sur","Comondú"
"13866","030010002","","0","0","","","U","Baja California Sur","Comondú"
"13867","030010003","254-4","251138","1120645","0010","G12C46","R","Baja California Sur","Comondú"
"13868","030010004","","0","0","","","R","Baja California Sur","Comondú"
"13869","030010005","","0","0","","","R","Baja California Sur","Comondú"
"13870","030010006","","0","0","","","R","Baja California Sur","Comondú"
"13871","030010007","","0","0","","","R","Baja California Sur","Comondú"
"13872","030010008","243-6","260459","1120201","0120","G12A86","R","Baja California Sur","Comondú"
"13873","030010009","","0","0","","","R","Baja California Sur","Comondú"
"13874","030010010","","0","0","","","R","Baja California Sur","Comondú"
"13875","030010011","256-3","252340","1112901","0140","G12C38","R","Baja California Sur","Comondú"
"13876","030010012","256-3","250730","1110159","0350","G12C49","R","Baja California Sur","Comondú"
"13877","030010013","","0","0","","","R","Baja California Sur","Comondú"
"13878","030010014","","0","0","","","R","Baja California Sur","Comondú"
"13879","030010015","","0","0","","","R","Baja California Sur","Comondú"
"13880","030010016","","0","0","","","R","Baja California Sur","Comondú"
"13881","030010017","","0","0","","","R","Baja California Sur","Comondú"
"13882","030010018","","0","0","","","R","Baja California Sur","Comondú"
"13883","030010019","","0","0","","","R","Baja California Sur","Comondú"
"13884","030010020","256-3","252309","1113024","0110","G12C38","R","Baja California Sur","Comondú"
"13885","030010021","","0","0","","","R","Baja California Sur","Comondú"
"13886","030010022","","0","0","","","R","Baja California Sur","Comondú"
"13887","030010023","","0","0","","","R","Baja California Sur","Comondú"
"13888","030010024","","0","0","","","R","Baja California Sur","Comondú"
"13889","030010025","","0","0","","","R","Baja California Sur","Comondú"
"13890","030010026","","0","0","","","R","Baja California Sur","Comondú"
"13891","030010027","903-9","243804","1120823","0010","G12C66","R","Baja California Sur","Comondú"
"13892","030010028","","0","0","","","R","Baja California Sur","Comondú"
"13893","030010029","","0","0","","","R","Baja California Sur","Comondú"
"13894","030010030","255-9","245818","1114826","0020","G12C57","R","Baja California Sur","Comondú"
"13895","030010031","259-7","250832","1112122","0140","G12C48","R","Baja California Sur","Comondú"
"13896","030010032","","0","0","","","R","Baja California Sur","Comondú"
"13897","030010033","","0","0","","","R","Baja California Sur","Comondú"
"13898","030010034","","0","0","","","R","Baja California Sur","Comondú"
"13899","030010035","255-9","250658","1114938","0050","G12C47","R","Baja California Sur","Comondú"
"13900","030010036","","0","0","","","R","Baja California Sur","Comondú"
"13901","030010037","","0","0","","","R","Baja California Sur","Comondú"
