"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"264248","240010001","009-4","222405","1010959","1850","F14A73","U","San Luis Potosí","Ahualulco"
"264249","240010002","002-2","223417","1011246","2000","F14A63","R","San Luis Potosí","Ahualulco"
"264250","240010003","004-1","222432","1012136","2090","F14A72","R","San Luis Potosí","Ahualulco"
"264251","240010004","","0","0","","","R","San Luis Potosí","Ahualulco"
"264252","240010005","004-1","222447","1011535","1990","F14A73","R","San Luis Potosí","Ahualulco"
"264253","240010006","007-5","221936","1011417","1900","F14A73","R","San Luis Potosí","Ahualulco"
"264254","240010007","003-7","222825","1010521","1810","F14A73","R","San Luis Potosí","Ahualulco"
"264255","240010008","003-7","222647","1010440","1770","F14A73","R","San Luis Potosí","Ahualulco"
"264256","240010009","002-2","223242","1011242","2150","F14A63","R","San Luis Potosí","Ahualulco"
"264257","240010010","003-7","222731","1010650","1850","F14A73","R","San Luis Potosí","Ahualulco"
"264258","240010011","005-6","222635","1011135","1970","F14A73","R","San Luis Potosí","Ahualulco"
"264259","240010012","001-8","223709","1011349","2070","F14A63","R","San Luis Potosí","Ahualulco"
"264260","240010013","006-0","222207","1012135","2120","F14A72","R","San Luis Potosí","Ahualulco"
"264261","240010014","005-6","222320","1010910","1825","F14A73","R","San Luis Potosí","Ahualulco"
"264262","240010015","003-7","222558","1010610","1770","F14A73","R","San Luis Potosí","Ahualulco"
"264263","240010016","005-6","222306","1010918","1825","F14A73","R","San Luis Potosí","Ahualulco"
"264264","240010017","005-6","222412","1010746","1810","F14A73","R","San Luis Potosí","Ahualulco"
"264265","240010018","006-0","222346","1011851","2040","F14A73","R","San Luis Potosí","Ahualulco"
"264266","240010019","002-2","222248","1011347","1920","F14A73","R","San Luis Potosí","Ahualulco"
"264267","240010020","005-6","222528","1011013","1875","F14A73","R","San Luis Potosí","Ahualulco"
"264268","240010021","004-1","222928","1011627","2140","F14A73","R","San Luis Potosí","Ahualulco"
"264269","240010022","002-2","223247","1011524","2230","F14A63","R","San Luis Potosí","Ahualulco"
"264270","240010023","006-0","222124","1011914","2050","F14A73","R","San Luis Potosí","Ahualulco"
"264271","240010025","007-5","221950","1011241","1880","F14A73","R","San Luis Potosí","Ahualulco"
"264272","240010026","007-5","221933","1011537","1910","F14A73","R","San Luis Potosí","Ahualulco"
"264273","240010027","001-8","223837","1011503","2050","F14A63","R","San Luis Potosí","Ahualulco"
"264274","240010028","005-6","222629","1010923","1900","F14A73","R","San Luis Potosí","Ahualulco"
"264275","240010029","002-2","222643","1011258","1990","F14A73","R","San Luis Potosí","Ahualulco"
"264276","240010030","001-8","223913","1011742","2010","F14A63","R","San Luis Potosí","Ahualulco"
"264277","240010031","002-2","223130","1011112","2100","F14A63","R","San Luis Potosí","Ahualulco"
"264278","240010032","002-2","223006","1011055","2080","F14A63","R","San Luis Potosí","Ahualulco"
"264279","240010033","006-0","221922","1012114","2280","F14A72","R","San Luis Potosí","Ahualulco"
"264280","240010034","005-6","222515","1010834","1830","F14A73","R","San Luis Potosí","Ahualulco"
"264281","240010035","003-7","222701","1010749","1850","F14A73","R","San Luis Potosí","Ahualulco"
"264282","240010036","002-2","223340","1011240","2070","F14A63","R","San Luis Potosí","Ahualulco"
"264283","240010037","005-6","222255","1011029","1855","F14A73","R","San Luis Potosí","Ahualulco"
"264284","240010039","005-6","222619","1010902","1860","F14A73","R","San Luis Potosí","Ahualulco"
"264285","240010040","006-0","222307","1011811","2020","F14A73","R","San Luis Potosí","Ahualulco"
"264286","240010041","001-8","223500","1011326","2250","F14A63","R","San Luis Potosí","Ahualulco"
"264287","240010042","005-6","222454","1010919","1830","F14A73","R","San Luis Potosí","Ahualulco"
"264288","240010043","002-2","222800","1011233","2000","F14A73","R","San Luis Potosí","Ahualulco"
"264289","240010044","002-2","223338","1011333","2130","F14A63","R","San Luis Potosí","Ahualulco"
"264290","240010045","003-7","222836","1010833","1950","F14A73","R","San Luis Potosí","Ahualulco"
"264291","240010046","001-8","223741","1011615","2100","F14A63","R","San Luis Potosí","Ahualulco"
"264292","240010047","001-8","223552","1011547","2200","F14A63","R","San Luis Potosí","Ahualulco"
"264293","240010048","005-6","222719","1010834","1930","F14A73","R","San Luis Potosí","Ahualulco"
"264294","240010049","005-6","222627","1011008","1900","F14A73","R","San Luis Potosí","Ahualulco"
"264295","240010050","","0","0","","","R","San Luis Potosí","Ahualulco"
"264296","240010051","002-2","223130","1011203","2180","F14A63","R","San Luis Potosí","Ahualulco"
"264297","240010052","001-8","223625","1011334","2110","F14A63","R","San Luis Potosí","Ahualulco"
"264298","240010053","007-5","221929","1011450","1900","F14A73","R","San Luis Potosí","Ahualulco"
"264299","240010054","007-5","221855","1011619","1950","F14A73","R","San Luis Potosí","Ahualulco"
"264300","240010056","005-6","222831","1011036","2000","F14A73","R","San Luis Potosí","Ahualulco"
"264301","240010057","006-0","222436","1012046","2070","F14A72","R","San Luis Potosí","Ahualulco"
