"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"336487","300010001","002-8","193513","0970033","2020","E14B26","U","Veracruz de Ignacio de la Llave","Acajete"
"336488","300010002","001-3","193338","0970334","2360","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336489","300010003","001-3","193320","0970243","2400","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336490","300010004","001-3","193654","0970103","2100","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336491","300010005","001-3","193602","0970334","2500","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336492","300010006","001-3","193505","0970339","2660","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336493","300010007","001-3","193529","0970116","2140","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336494","300010008","001-3","193639","0970138","2160","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336495","300010009","001-3","193423","0970107","2020","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336496","300010010","001-3","193332","0970056","2020","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336497","300010011","001-3","193125","0970309","2560","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336498","300010012","001-3","193415","0970022","1980","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336499","300010013","001-3","193432","0970212","2240","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336500","300010014","001-3","193558","0970152","1900","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336501","300010015","001-3","193657","0970015","2030","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336502","300010016","001-3","193222","0970050","1700","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336503","300010017","001-3","193057","0970135","2140","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336504","300010018","001-3","193306","0970432","2820","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336505","300010021","001-3","193154","0970142","2020","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336506","300010022","001-3","193232","0970308","2400","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336507","300010023","001-3","193112","0970412","2780","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336508","300010024","001-3","193426","0970313","2600","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
"336509","300010025","001-3","193306","0970441","2880","E14B26","R","Veracruz de Ignacio de la Llave","Acajete"
