"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"334014","290010001","003-A","192056","0981004","2300","E14B33","U","Tlaxcala","Amaxac de Guerrero"
"334015","290010002","007-8","192220","0981308","2500","E14B33","R","Tlaxcala","Amaxac de Guerrero"
"334016","290010004","","0","0","","","R","Tlaxcala","Amaxac de Guerrero"
"334017","290010005","003-A","192056"," 981004","2300","E14B33","U","Tlaxcala","Amaxac de Guerrero"
"334018","290010007","002-5","192144"," 981106","2360","E14B33","R","Tlaxcala","Amaxac de Guerrero"
"334019","290010010","007-8","192245"," 981358","2500","E14B33","R","Tlaxcala","Amaxac de Guerrero"
"334020","290010011","007-8","192252","0981350","2500","E14B33","R","Tlaxcala","Amaxac de Guerrero"
"334021","290010012","007-8","192239","0981233","2400","E14B33","R","Tlaxcala","Amaxac de Guerrero"
"334022","290020001","002-2","191952","0981144","2260","E14B33","U","Tlaxcala","Apetatitlán de Antonio Carvajal"
"334023","290020002","001-8","192049","0981124","2320","E14B33","U","Tlaxcala","Apetatitlán de Antonio Carvajal"
"334024","290020003","001-8","192109","0981132","2320","E14B33","R","Tlaxcala","Apetatitlán de Antonio Carvajal"
"334025","290020004","001-8","192019","0981110","2260","E14B33","U","Tlaxcala","Apetatitlán de Antonio Carvajal"
"334026","290020005","0000","191954","0981211","2240","E14B33","U","Tlaxcala","Apetatitlán de Antonio Carvajal"
"334027","290020006","001-8","192148","0981111","2360","E14B33","R","Tlaxcala","Apetatitlán de Antonio Carvajal"
"334028","290020007","001-8","192122","0981032","2340","E14B33","R","Tlaxcala","Apetatitlán de Antonio Carvajal"
"334029","290030001","002-A","193151","0981230","2500","E14B23","U","Tlaxcala","Atlangatepec"
"334030","290030002","001-5","193108"," 980849","2580","E14B23","R","Tlaxcala","Atlangatepec"
"334031","290030004","001-5","193113","0981242","2480","E14B23","R","Tlaxcala","Atlangatepec"
"334032","290030005","001-5","193434","0980914","2500","E14B23","R","Tlaxcala","Atlangatepec"
"334033","290030006","001-5","193252","0981210","2480","E14B23","R","Tlaxcala","Atlangatepec"
