"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"314434","280010001","017-7","240323","0982232","0070","G14D82","U","Tamaulipas","Abasolo"
"314435","280010002","040-6","240227","0982301","0050","G14D82","R","Tamaulipas","Abasolo"
"314436","280010003","040-6","240005","0981951","0040","G14D83","R","Tamaulipas","Abasolo"
"314437","280010004","038-9","240534","0980858","0150","G14D83","R","Tamaulipas","Abasolo"
"314438","280010005","032-1","242010","0981456","0150","G14D73","R","Tamaulipas","Abasolo"
"314439","280010006","","0","0","","","R","Tamaulipas","Abasolo"
"314440","280010007","031-7","241712","0981639","0150","G14D73","R","Tamaulipas","Abasolo"
"314441","280010008","011-A","240816","0982042","0070","G14D82","R","Tamaulipas","Abasolo"
"314442","280010009","039-3","235803","0982732","0080","F14B12","R","Tamaulipas","Abasolo"
"314443","280010010","007-3","241221","0981806","0160","G14D83","R","Tamaulipas","Abasolo"
"314444","280010011","032-1","242129","0981014","0160","G14D73","R","Tamaulipas","Abasolo"
"314445","280010012","030-2","241935","0980519","0120","G14D73","R","Tamaulipas","Abasolo"
"314446","280010013","034-0","241154","0980721","0140","G14D83","R","Tamaulipas","Abasolo"
"314447","280010014","040-6","240149","0981838","0030","G14D83","R","Tamaulipas","Abasolo"
"314448","280010015","029-A","242457","0980849","0110","G14D73","R","Tamaulipas","Abasolo"
"314449","280010016","007-3","241545","0981759","0170","G14D73","R","Tamaulipas","Abasolo"
"314450","280010017","035-5","241225","0980450","0110","G14D83","R","Tamaulipas","Abasolo"
"314451","280010018","","0","0","","","R","Tamaulipas","Abasolo"
"314452","280010019","040-6","235938","0982536","0060","F14B12","R","Tamaulipas","Abasolo"
"314453","280010020","","0","0","","","R","Tamaulipas","Abasolo"
"314454","280010021","011-A","240721","0981924","0130","G14D83","R","Tamaulipas","Abasolo"
"314455","280010022","","0","0","","","R","Tamaulipas","Abasolo"
"314456","280010023","","0","0","","","R","Tamaulipas","Abasolo"
"314457","280010024","001-6","242048","0981627","0170","G14D73","R","Tamaulipas","Abasolo"
"314458","280010025","","0","0","","","R","Tamaulipas","Abasolo"
"314459","280010026","","0","0","","","R","Tamaulipas","Abasolo"
"314460","280010027","032-1","241952","0981229","0160","G14D73","R","Tamaulipas","Abasolo"
"314461","280010028","039-3","240014","0982622","0050","G14D82","R","Tamaulipas","Abasolo"
"314462","280010029","037-4","240603","0981153","0100","G14D83","R","Tamaulipas","Abasolo"
"314463","280010030","","0","0","","","R","Tamaulipas","Abasolo"
"314464","280010031","","0","0","","","R","Tamaulipas","Abasolo"
"314465","280010032","","0","0","","","R","Tamaulipas","Abasolo"
"314466","280010033","033-6","241423","0981119","0100","G14D83","R","Tamaulipas","Abasolo"
"314467","280010034","033-6","241014","0981214","0130","G14D83","R","Tamaulipas","Abasolo"
"314468","280010035","033-6","241443","0981308","0130","G14D83","R","Tamaulipas","Abasolo"
"314469","280010036","010-5","240721","0982522","0070","G14D82","R","Tamaulipas","Abasolo"
"314470","280010037","030-2","242052","0980808","0140","G14D73","R","Tamaulipas","Abasolo"
"314471","280010038","032-1","241855","0980938","0150","G14D73","R","Tamaulipas","Abasolo"
"314472","280010039","","0","0","","","R","Tamaulipas","Abasolo"
"314473","280010040","034-0","241014","0980431","0110","G14D83","R","Tamaulipas","Abasolo"
"314474","280010041","007-3","241504"," 981637","0160","G14D73","R","Tamaulipas","Abasolo"
"314475","280010042","050-A","240102","0982607","0050","G14D82","R","Tamaulipas","Abasolo"
"314476","280010043","","0","0","","","R","Tamaulipas","Abasolo"
"314477","280010044","","0","0","","","R","Tamaulipas","Abasolo"
"314478","280010045","","0","0","","","R","Tamaulipas","Abasolo"
"314479","280010046","","0","0","","","R","Tamaulipas","Abasolo"
"314480","280010047","","0","0","","","R","Tamaulipas","Abasolo"
"314481","280010048","043-A","240924"," 982446","0080","G14D82","R","Tamaulipas","Abasolo"
"314482","280010049","","0","0","","","R","Tamaulipas","Abasolo"
"314483","280010050","","0","0","","","R","Tamaulipas","Abasolo"
"314484","280010051","","0","0","","","R","Tamaulipas","Abasolo"
"314485","280010052","","0","0","","","R","Tamaulipas","Abasolo"
"314486","280010053","","0","0","","","R","Tamaulipas","Abasolo"
"314487","280010054","","0","0","","","R","Tamaulipas","Abasolo"
"314488","280010055","","0","0","","","R","Tamaulipas","Abasolo"
"314489","280010056","","0","0","","","R","Tamaulipas","Abasolo"
"314490","280010057","","0","0","","","R","Tamaulipas","Abasolo"
"314491","280010058","","0","0","","","R","Tamaulipas","Abasolo"
"314492","280010059","","0","0","","","R","Tamaulipas","Abasolo"
"314493","280010061","","0","0","","","R","Tamaulipas","Abasolo"
"314494","280010062","","0","0","","","R","Tamaulipas","Abasolo"
"314495","280010063","","0","0","","","R","Tamaulipas","Abasolo"
"314496","280010064","","0","0","","","R","Tamaulipas","Abasolo"
