"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"310867","270010001","040-1","174819","0913211","0030","E15D15","U","Tabasco","Balancán"
"310868","270010002","013-4","175654","0910527","0040","E15D16","R","Tabasco","Balancán"
"310869","270010004","036-5","173911","0911553","0050","E15D26","R","Tabasco","Balancán"
"310870","270010005","038-4","173617","0910408","0050","E15D26","R","Tabasco","Balancán"
"310871","270010007","007-9","174929","0913801","0020","E15D15","R","Tabasco","Balancán"
"310872","270010008","","0","0","","","R","Tabasco","Balancán"
"310873","270010009","023-8","174546","0910113","0050","E15D16","R","Tabasco","Balancán"
"310874","270010010","025-7","174508","0912535","0010","E15D15","R","Tabasco","Balancán"
"310875","270010011","037-A","174048","0911338","0040","E15D26","R","Tabasco","Balancán"
"310876","270010012","046-9","173335","0910040","0060","E15D26","R","Tabasco","Balancán"
"310877","270010013","","0","0","","","R","Tabasco","Balancán"
"310878","270010014","030-8","174623","0910852","0040","E15D16","R","Tabasco","Balancán"
"310879","270010015","031-2","174223","0910512","0040","E15D26","R","Tabasco","Balancán"
"310880","270010016","037-A","173808","0911238","0050","E15D26","R","Tabasco","Balancán"
"310881","270010017","016-8","174950","912826","0030","E15D15","R","Tabasco","Balancán"
"310882","270010018","","0","0","","","R","Tabasco","Balancán"
"310883","270010019","046-9","173758","0910207","0040","E15D26","R","Tabasco","Balancán"
"310884","270010020","025-7","174628","0913154","0054","E15D15","R","Tabasco","Balancán"
"310885","270010021","036-5","173924","911623","0050","E15D26","R","Tabasco","Balancán"
"310886","270010022","015-3","174839","913550","0010","E15D15","R","Tabasco","Balancán"
"310887","270010023","023-8","174945","0910324","0040","E15D16","R","Tabasco","Balancán"
"310888","270010024","018-7","174903","0911456","0040","E15D16","R","Tabasco","Balancán"
"310889","270010025","046-9","173414","0910314","0060","E15D26","R","Tabasco","Balancán"
"310890","270010026","","0","0","","","R","Tabasco","Balancán"
"310891","270010027","","0","0","","","R","Tabasco","Balancán"
"310892","270010028","025-7","174533","0912903","0010","E15D15","R","Tabasco","Balancán"
"310893","270010029","","0","0","","","R","Tabasco","Balancán"
"310894","270010031","006-4","175903","0911859","0050","E15D16","R","Tabasco","Balancán"
"310895","270010032","009-8","175335","0912847","0010","E15D15","R","Tabasco","Balancán"
"310896","270010033","005-A","175935","0912316","0050","E15D15","R","Tabasco","Balancán"
"310897","270010034","025-7","174448","0912748","0010","E15D25","R","Tabasco","Balancán"
"310898","270010035","026-1","173130","0910435","0060","E15D26","R","Tabasco","Balancán"
"310899","270010036","025-7","174703","0912926","0027","E15D15","R","Tabasco","Balancán"
"310900","270010037","","0","0","","","R","Tabasco","Balancán"
"310901","270010038","020-4","175243","0910738","0050","E15D16","R","Tabasco","Balancán"
"310902","270010039","033-1","174133","0913235","0020","E15D25","R","Tabasco","Balancán"
"310903","270010040","025-7","174231","0913241","0020","E15D25","R","Tabasco","Balancán"
"310904","270010042","","0","0","","","R","Tabasco","Balancán"
"310905","270010043","024-2","174917","0914053","0010","E15D14","R","Tabasco","Balancán"
"310906","270010044","036-5","173515","0911732","0030","E15D26","R","Tabasco","Balancán"
"310907","270010045","024-2","174917","0913648","0020","E15D15","R","Tabasco","Balancán"
"310908","270010046","016-8","174522","0912724","0010","E15D15","R","Tabasco","Balancán"
"310909","270010047","034-6","174127","0912249","0020","E15D25","R","Tabasco","Balancán"
"310910","270010048","020-4","175006","0910853","0060","E15D16","R","Tabasco","Balancán"
"310911","270010049","025-7","174236","0912636","0020","E15D25","R","Tabasco","Balancán"
"310912","270010050","035-0","173617","0912113","0020","E15D25","R","Tabasco","Balancán"
"310913","270010051","003-0","175853","0913344","0020","E15D15","R","Tabasco","Balancán"
"310914","270010052","006-4","180200","0911735","0020","E15B86","R","Tabasco","Balancán"
"310915","270010053","","0","0","","","R","Tabasco","Balancán"
"310916","270010054","047-3","173513","0910835","0050","E15D26","R","Tabasco","Balancán"
"310917","270010055","003-0","175747","0913600","0010","E15D15","R","Tabasco","Balancán"
"310918","270010056","017-2","174959","0912244","0053","E15D15","R","Tabasco","Balancán"
"310919","270010058","011-5","175222","0911431","0050","E15D16","R","Tabasco","Balancán"
"310920","270010059","029-5","174513","911529","0040","E15D16","R","Tabasco","Balancán"
"310921","270010060","032-7","174108","0910142","0040","E15D26","R","Tabasco","Balancán"
"310922","270010061","037-A","173758","0910911","0050","E15D26","R","Tabasco","Balancán"
"310923","270010062","003-0","180100","0913351","0020","E15B85","R","Tabasco","Balancán"
"310924","270010063","025-7","174338","0913307","0020","E15D25","R","Tabasco","Balancán"
"310925","270010064","024-2","174907","0914007","0020","E15D14","R","Tabasco","Balancán"
"310926","270010065","038-4","173843","0910640","0040","E15D26","R","Tabasco","Balancán"
"310927","270010066","009-8","175459","0912908","0020","E15D15","R","Tabasco","Balancán"
"310928","270010067","","0","0","","","R","Tabasco","Balancán"
"310929","270010068","015-3","174938","0913628","0020","E15D15","R","Tabasco","Balancán"
"310930","270010069","030-8","174337","0911102","0040","E15D26","R","Tabasco","Balancán"
"310931","270010070","024-2","174751","0913739","0010","E15D15","R","Tabasco","Balancán"
"310932","270010071","016-8","174753","0912729","0020","E15D15","R","Tabasco","Balancán"
"310933","270010072","034-6","173758","0912413","0020","E15D25","R","Tabasco","Balancán"
"310934","270010073","024-2","174309","0914141","0010","E15D24","R","Tabasco","Balancán"
"310935","270010074","057-7","175515","0911015","0030","E15D16","U","Tabasco","Balancán"
"310936","270010075","015-3","174905","0913326","0047","E15D15","R","Tabasco","Balancán"
"310937","270010076","024-2","174548","0913803","0046","E15D15","R","Tabasco","Balancán"
"310938","270010077","024-2","174416","0913722","0010","E15D25","R","Tabasco","Balancán"
"310939","270010078","002-6","180918","0913439","0010","E15B85","R","Tabasco","Balancán"
"310940","270010079","037-A","174003","0911000","0050","E15D26","R","Tabasco","Balancán"
"310941","270010081","","0","0","","","R","Tabasco","Balancán"
"310942","270010082","030-8","174449","0910936","0050","E15D26","R","Tabasco","Balancán"
"310943","270010084","027-6","172921","0910050","0060","E15D36","R","Tabasco","Balancán"
"310944","270010085","","0","0","","","R","Tabasco","Balancán"
"310945","270010088","030-8","174259","0911210","0040","E15D26","R","Tabasco","Balancán"
"310946","270010089","011-5","175553","0911403","0050","E15D16","R","Tabasco","Balancán"
"310947","270010090","004-5","180137","0912749","0029","E15B85","R","Tabasco","Balancán"
"310948","270010091","002-6","180516","0913617","0010","E15B85","R","Tabasco","Balancán"
"310949","270010093","025-7","174405","0913017","0020","E15D25","R","Tabasco","Balancán"
"310950","270010094","006-4","175726","911844","0050","E15D16","R","Tabasco","Balancán"
"310951","270010095","006-4","175741","0911626","0050","E15D16","R","Tabasco","Balancán"
"310952","270010097","033-1","173924","0913212","0030","E15D25","R","Tabasco","Balancán"
"310953","270010099","025-7","174326","0912853","0020","E15D25","R","Tabasco","Balancán"
"310954","270010101","014-9","175505","0910100","0050","E15D16","R","Tabasco","Balancán"
"310955","270010102","","0","0","","","R","Tabasco","Balancán"
"310956","270010103","008-3","175703","0913130","0032","E15D15","R","Tabasco","Balancán"
"310957","270010104","025-7","174618","0913156","0020","E15D15","R","Tabasco","Balancán"
"310958","270010105","","0","0","","","R","Tabasco","Balancán"
"310959","270010106","015-3","174917","0913037","0020","E15D15","R","Tabasco","Balancán"
"310960","270010108","011-5","175756","0911319","0040","E15D16","R","Tabasco","Balancán"
"310961","270010109","007-9","174945","0914033","0010","E15D14","R","Tabasco","Balancán"
"310962","270010110","","0","0","","","R","Tabasco","Balancán"
"310963","270010112","","0","0","","","R","Tabasco","Balancán"
"310964","270010116","004-5","175931","0912950","0020","E15D15","R","Tabasco","Balancán"
"310965","270010117","028-0","174610","0912356","0020","E15D15","R","Tabasco","Balancán"
"310966","270010118","008-3","175307","0912934","0040","E15D15","R","Tabasco","Balancán"
"310967","270010119","011-5","175255","0911437","0060","E15D16","R","Tabasco","Balancán"
"310968","270010120","033-1","173857","0913345","0040","E15D25","R","Tabasco","Balancán"
"310969","270010121","015-3","174901","0913054","0038","E15D15","R","Tabasco","Balancán"
"310970","270010122","018-7","175045","0911459","0040","E15D16","R","Tabasco","Balancán"
"310971","270010123","","0","0","","","R","Tabasco","Balancán"
"310972","270010124","011-5","175543","0911205","0050","E15D16","R","Tabasco","Balancán"
"310973","270010125","036-5","173533","0911810","0030","E15D26","R","Tabasco","Balancán"
"310974","270010127","003-0","180226","913415","0010","E15B85","R","Tabasco","Balancán"
"310975","270010128","005-A","175945","912246","0050","E15D15","R","Tabasco","Balancán"
"310976","270010129","032-7","174209","0910234","0050","E15D26","R","Tabasco","Balancán"
"310977","270010130","","0","0","","","R","Tabasco","Balancán"
"310978","270010131","","0","0","","","R","Tabasco","Balancán"
"310979","270010132","009-8","175220","0912507","0010","E15D15","R","Tabasco","Balancán"
"310980","270010133","003-0","175622","0913451","0040","E15D15","R","Tabasco","Balancán"
"310981","270010134","035-0","173652","0912148","0020","E15D25","R","Tabasco","Balancán"
"310982","270010135","","0","0","","","R","Tabasco","Balancán"
"310983","270010136","017-2","174607","0912300","0040","E15D15","R","Tabasco","Balancán"
"310984","270010137","028-0","174346","0912530","0020","E15D25","R","Tabasco","Balancán"
"310985","270010138","","0","0","","","R","Tabasco","Balancán"
"310986","270010139","036-5","173819","0911629","0050","E15D26","R","Tabasco","Balancán"
"310987","270010140","034-6","173955","0912556","0020","E15D25","R","Tabasco","Balancán"
"310988","270010141","028-0","174520","912250","0020","E15D15","R","Tabasco","Balancán"
"310989","270010142","010-0","175217","0911802","0040","E15D16","R","Tabasco","Balancán"
"310990","270010143","010-0","175403","0912115","0060","E15D15","R","Tabasco","Balancán"
"310991","270010144","008-3","175843","913123","0020","E15D15","R","Tabasco","Balancán"
"310992","270010145","035-0","174111","0911730","0050","E15D26","R","Tabasco","Balancán"
"310993","270010146","005-A","175757","0912323","0055","E15D15","R","Tabasco","Balancán"
"310994","270010147","","0","0","","","R","Tabasco","Balancán"
"310995","270010148","010-0","175427","911741","0050","E15D16","R","Tabasco","Balancán"
"310996","270010149","017-2","174918","0912214","0030","E15D15","R","Tabasco","Balancán"
"310997","270010150","019-1","174620","0911313","0040","E15D16","R","Tabasco","Balancán"
"310998","270010151","008-3","175234","0913018","0030","E15D15","R","Tabasco","Balancán"
"310999","270010152","010-0","175217","0911702","0050","E15D16","R","Tabasco","Balancán"
"311000","270010153","","0","0","","","R","Tabasco","Balancán"
"311001","270010154","010-0","175436","0912319","0050","E15D15","R","Tabasco","Balancán"
"311002","270010155","","0","0","","","R","Tabasco","Balancán"
"311003","270010156","","0","0","","","R","Tabasco","Balancán"
"311004","270010157","008-3","175300","0913156","0030","E15D15","R","Tabasco","Balancán"
"311005","270010158","019-1","175138","0911451","0050","E15D16","R","Tabasco","Balancán"
"311006","270010159","018-7","175109","0911458","0050","E15D16","R","Tabasco","Balancán"
"311007","270010160","035-0","174209","0911904","0050","E15D26","R","Tabasco","Balancán"
"311008","270010161","008-3","175838","0913238","0020","E15D15","R","Tabasco","Balancán"
"311009","270010162","024-2","174653","0914212","0020","E15D14","R","Tabasco","Balancán"
"311010","270010163","025-7","174548","0913330","0010","E15D15","R","Tabasco","Balancán"
"311011","270010164","027-6","172948","0910313","0060","E15D36","R","Tabasco","Balancán"
"311012","270010165","019-1","174710","911013","0050","E15D16","R","Tabasco","Balancán"
"311013","270010166","015-3","175011","0913453","0010","E15D15","R","Tabasco","Balancán"
"311014","270010167","003-0","175657","0913535","0020","E15D15","R","Tabasco","Balancán"
"311015","270010168","009-8","175615","912947","0020","E15D15","R","Tabasco","Balancán"
"311016","270010169","009-8","175558","0912404","0010","E15D15","R","Tabasco","Balancán"
"311017","270010170","019-1","175217","0911136","0050","E15D16","R","Tabasco","Balancán"
"311018","270010171","018-7","175111","0911628","0050","E15D16","R","Tabasco","Balancán"
"311019","270010172","016-8","175203","0912952","0020","E15D15","R","Tabasco","Balancán"
"311020","270010173","008-3","175401","913034","0030","E15D15","R","Tabasco","Balancán"
"311021","270010174","009-8","175644","912918","0020","E15D15","R","Tabasco","Balancán"
"311022","270010175","","0","0","","","R","Tabasco","Balancán"
"311023","270010176","018-7","175303","0911637","0050","E15D16","R","Tabasco","Balancán"
"311024","270010177","","0","0","","","R","Tabasco","Balancán"
"311025","270010178","","0","0","","","R","Tabasco","Balancán"
"311026","270010179","","0","0","","","R","Tabasco","Balancán"
"311027","270010180","010-0","175447","0912325","0050","E15D15","R","Tabasco","Balancán"
"311028","270010181","015-3","175218","0913108","0020","E15D15","R","Tabasco","Balancán"
"311029","270010182","018-7","175035","911456","0040","E15D16","R","Tabasco","Balancán"
"311030","270010183","","0","0","","","R","Tabasco","Balancán"
"311031","270010184","011-5","175610","0911038","0040","E15D16","R","Tabasco","Balancán"
"311032","270010185","016-8","175148","912750","0030","E15D15","R","Tabasco","Balancán"
"311033","270010186","036-5","173626","0911912","0050","E15D26","R","Tabasco","Balancán"
"311034","270010187","029-5","174034","0911519","0040","E15D26","R","Tabasco","Balancán"
"311035","270010188","008-3","175320","913117","0030","E15D15","R","Tabasco","Balancán"
"311036","270010189","009-8","175220","0912751","0010","E15D15","R","Tabasco","Balancán"
"311037","270010190","033-1","174047","0913142","0020","E15D25","R","Tabasco","Balancán"
"311038","270010191","009-8","175403","0912547","0010","E15D15","R","Tabasco","Balancán"
"311039","270010192","011-5","175419","0911048","0060","E15D16","R","Tabasco","Balancán"
"311040","270010193","034-6","174152","912423","0020","E15D25","R","Tabasco","Balancán"
"311041","270010194","009-8","175549","0912847","0020","E15D15","R","Tabasco","Balancán"
"311042","270010195","016-8","175058","912819","0040","E15D15","R","Tabasco","Balancán"
"311043","270010196","008-3","175429","0913439","0023","E15D15","R","Tabasco","Balancán"
"311044","270010197","","0","0","","","R","Tabasco","Balancán"
"311045","270010198","024-2","174631","914032","0010","E15D14","R","Tabasco","Balancán"
"311046","270010199","029-5","174236","911713","0040","E15D26","R","Tabasco","Balancán"
"311047","270010200","029-5","174532","911928","0030","E15D16","R","Tabasco","Balancán"
"311048","270010201","037-A","173937","911323","0010","E15D26","R","Tabasco","Balancán"
"311049","270010202","","0","0","","","R","Tabasco","Balancán"
"311050","270010203","029-5","174431","0912049","0020","E15D25","R","Tabasco","Balancán"
"311051","270010204","038-4","173447","0910530","0050","E15D26","R","Tabasco","Balancán"
"311052","270010205","","0","0","","","R","Tabasco","Balancán"
"311053","270010206","010-0","175355","0912321","0060","E15D15","R","Tabasco","Balancán"
"311054","270010207","017-2","174730","0912251","0030","E15D15","R","Tabasco","Balancán"
"311055","270010208","036-5","173847","0911619","0050","E15D26","R","Tabasco","Balancán"
"311056","270010209","036-5","173941","0911507","0050","E15D26","R","Tabasco","Balancán"
"311057","270010210","007-9","175211","0913712","0010","E15D15","R","Tabasco","Balancán"
"311058","270010211","","0","0","","","R","Tabasco","Balancán"
"311059","270010212","008-3","175222","0913345","0010","E15D15","R","Tabasco","Balancán"
"311060","270010213","003-0","180304","0913450","0019","E15B85","R","Tabasco","Balancán"
"311061","270010214","008-3","175613","913246","0020","E15D15","R","Tabasco","Balancán"
"311062","270010215","008-3","175844","0912939","0020","E15D15","R","Tabasco","Balancán"
"311063","270010216","017-2","174945","0912129","0050","E15D15","R","Tabasco","Balancán"
"311064","270010217","","0","0","","","R","Tabasco","Balancán"
"311065","270010218","025-7","174512","0913201","0010","E15D15","R","Tabasco","Balancán"
"311066","270010219","019-1","175044","0911450","0040","E15D16","R","Tabasco","Balancán"
"311067","270010220","028-0","174606","0912504","0030","E15D15","R","Tabasco","Balancán"
"311068","270010221","030-8","174604","0910941","0040","E15D16","R","Tabasco","Balancán"
"311069","270010222","008-3","175222","0913138","0066","E15D15","R","Tabasco","Balancán"
"311070","270010223","030-8","174643","0910942","0040","E15D16","R","Tabasco","Balancán"
"311071","270010224","008-3","175310","0913313","0020","E15D15","R","Tabasco","Balancán"
"311072","270010225","","0","0","","","R","Tabasco","Balancán"
"311073","270010226","010-0","175442","912305","0050","E15D15","R","Tabasco","Balancán"
"311074","270010227","010-0","175219","0911713","0050","E15D16","R","Tabasco","Balancán"
"311075","270010228","009-8","175223","0912839","0010","E15D15","R","Tabasco","Balancán"
"311076","270010229","016-8","175052","0913020","0020","E15D15","R","Tabasco","Balancán"
"311077","270010230","018-7","175047","0911849","0030","E15D16","R","Tabasco","Balancán"
"311078","270010231","009-8","175828","0912914","0036","E15D15","R","Tabasco","Balancán"
"311079","270010232","","0","0","","","R","Tabasco","Balancán"
"311080","270010233","","0","0","","","R","Tabasco","Balancán"
