"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"156805","140010001","006-7","204645","1025434","1680","F13D57","U","Jalisco","Acatic"
"156806","140010002","001-4","204736","1025331","1720","F13D57","R","Jalisco","Acatic"
"156807","140010003","002-9","204926","1025104","1780","F13D57","R","Jalisco","Acatic"
"156808","140010004","001-4","204716","1025809","1685","F13D57","R","Jalisco","Acatic"
"156809","140010005","","0","0","","","R","Jalisco","Acatic"
"156810","140010006","004-8","204345","1025850","1700","F13D67","R","Jalisco","Acatic"
"156811","140010007","002-9","204715","1025054","1700","F13D57","R","Jalisco","Acatic"
"156812","140010008","004-8","204553","1030103","1730","F13D56","R","Jalisco","Acatic"
"156813","140010009","005-2","204154","1025620","1620","F13D67","R","Jalisco","Acatic"
"156814","140010010","001-4","204735","1025218","1700","F13D57","R","Jalisco","Acatic"
"156815","140010011","002-9","204613","1025206","1700","F13D57","R","Jalisco","Acatic"
"156816","140010012","004-8","204343","1025934","1720","F13D67","R","Jalisco","Acatic"
"156817","140010013","004-8","204658","1025559","1670","F13D57","R","Jalisco","Acatic"
"156818","140010014","004-8","204257","1025728","1680","F13D67","R","Jalisco","Acatic"
"156819","140010015","","0","0","","","R","Jalisco","Acatic"
"156820","140010016","005-2","204239","1025031","1755","F13D67","R","Jalisco","Acatic"
"156821","140010017","004-8","204700","1030128","1500","F13D56","R","Jalisco","Acatic"
"156822","140010018","005-2","204258","1025350","1760","F13D67","R","Jalisco","Acatic"
"156823","140010019","004-8","204710","1025915","1650","F13D57","R","Jalisco","Acatic"
"156824","140010020","004-8","204445","1025915","1730","F13D67","R","Jalisco","Acatic"
"156825","140010021","005-2","204042","1025505","1630","F13D67","R","Jalisco","Acatic"
"156826","140010022","004-8","204609","1025843","1670","F13D57","R","Jalisco","Acatic"
"156827","140010023","001-4","204832","1025747","1695","F13D57","R","Jalisco","Acatic"
"156828","140010024","004-8","204534","1030110","1740","F13D56","R","Jalisco","Acatic"
"156829","140010025","001-4","205046","1025518","1300","F13D57","R","Jalisco","Acatic"
"156830","140010026","004-8","204536","1025512","1690","F13D57","R","Jalisco","Acatic"
"156831","140010027","004-8","204604","1025948","1680","F13D57","R","Jalisco","Acatic"
"156832","140010028","002-9","204743","1025120","1750","F13D57","R","Jalisco","Acatic"
"156833","140010029","002-9","204527","1025006","1830","F13D57","R","Jalisco","Acatic"
"156834","140010030","001-4","204928","1025437","1710","F13D57","R","Jalisco","Acatic"
"156835","140010031","001-4","204931","1025316","1765","F13D57","R","Jalisco","Acatic"
"156836","140010032","002-9","204634","1025331","1710","F13D57","R","Jalisco","Acatic"
"156837","140010033","004-8","204509","1030129","1780","F13D56","R","Jalisco","Acatic"
"156838","140010034","005-2","204301","1025057","1765","F13D67","R","Jalisco","Acatic"
"156839","140010035","005-2","204438","1025030","1810","F13D67","R","Jalisco","Acatic"
