"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"83715","080010001","162-3","303707","1063044","1200","H13A65","U","Chihuahua","Ahumada"
"83716","080010002","238-8","303044","1060239","1360","H13A66","R","Chihuahua","Ahumada"
"83717","080010003","","0","0","","","R","Chihuahua","Ahumada"
"83718","080010004","","0","0","","","R","Chihuahua","Ahumada"
"83719","080010005","","0","0","","","R","Chihuahua","Ahumada"
"83720","080010006","202-A","304727","1062609","1210","H13A55","R","Chihuahua","Ahumada"
"83721","080010007","253-2","301813","1064746","1280","H13A74","R","Chihuahua","Ahumada"
"83722","080010008","","0","0","","","R","Chihuahua","Ahumada"
"83723","080010009","","0","0","","","R","Chihuahua","Ahumada"
"83724","080010010","241-A","302449","1053814","0847","H13A78","R","Chihuahua","Ahumada"
"83725","080010011","250-9","302902","1061130","1400","H13A76","R","Chihuahua","Ahumada"
"83726","080010012","247-7","302650","1063124","1220","H13A75","R","Chihuahua","Ahumada"
"83727","080010013","274-4","300913","1061442","1390","H13A86","R","Chihuahua","Ahumada"
"83728","080010014","","0","0","","","R","Chihuahua","Ahumada"
"83729","080010015","296-0","295307","1063659","1520","H13C15","R","Chihuahua","Ahumada"
"83730","080010016","","0","0","","","R","Chihuahua","Ahumada"
"83731","080010017","","0","0","","","R","Chihuahua","Ahumada"
"83732","080010018","182-0","310453","1062837","1340","H13A45","R","Chihuahua","Ahumada"
"83733","080010019","","0","0","","","R","Chihuahua","Ahumada"
"83734","080010020","224-6","303347","1063909","1220","H13A65","R","Chihuahua","Ahumada"
"83735","080010021","","0","0","","","R","Chihuahua","Ahumada"
"83736","080010022","","0","0","","","R","Chihuahua","Ahumada"
"83737","080010023","253-2","301806","1064728","1280","H13A74","R","Chihuahua","Ahumada"
"83738","080010024","205-3","304620","1055756","1380","H13A57","R","Chihuahua","Ahumada"
"83739","080010025","","0","0","","","R","Chihuahua","Ahumada"
"83740","080010026","","0","0","","","R","Chihuahua","Ahumada"
"83741","080010027","","0","0","","","R","Chihuahua","Ahumada"
"83742","080010028","","0","0","","","R","Chihuahua","Ahumada"
"83743","080010029","","0","0","","","R","Chihuahua","Ahumada"
"83744","080010030","287-1","300311","1055429","1320","H13A87","R","Chihuahua","Ahumada"
"83745","080010031","251-3","302502","1060803","1410","H13A76","R","Chihuahua","Ahumada"
"83746","080010032","227-A","303455","1055910","1440","H13A67","R","Chihuahua","Ahumada"
"83747","080010033","284-8","300429","1062226","1480","H13A85","R","Chihuahua","Ahumada"
"83748","080010034","","0","0","","","R","Chihuahua","Ahumada"
"83749","080010035","","0","0","","","R","Chihuahua","Ahumada"
"83750","080010036","","0","0","","","R","Chihuahua","Ahumada"
"83751","080010037","","0","0","","","R","Chihuahua","Ahumada"
"83752","080010038","","0","0","","","R","Chihuahua","Ahumada"
"83753","080010039","","0","0","","","R","Chihuahua","Ahumada"
"83754","080010040","193-9","304905","1063220","1200","H13A55","R","Chihuahua","Ahumada"
"83755","080010041","","0","0","","","R","Chihuahua","Ahumada"
"83756","080010044","","0","0","","","R","Chihuahua","Ahumada"
"83757","080010045","","0","0","","","R","Chihuahua","Ahumada"
"83758","080010046","","0","0","","","R","Chihuahua","Ahumada"
"83759","080010047","","0","0","","","R","Chihuahua","Ahumada"
"83760","080010048","","0","0","","","R","Chihuahua","Ahumada"
"83761","080010049","","0","0","","","R","Chihuahua","Ahumada"
"83762","080010050","254-7","301610","1064539","1290","H13A74","R","Chihuahua","Ahumada"
"83763","080010051","","0","0","","","R","Chihuahua","Ahumada"
"83764","080010052","283-3","300316","1062501","1540","H13A85","R","Chihuahua","Ahumada"
"83765","080010053","220-8","303426","1054916","1400","H13A67","R","Chihuahua","Ahumada"
"83766","080010054","201-5","304835","1063128","1200","H13A55","R","Chihuahua","Ahumada"
"83767","080010055","196-2","305003","1062702","1220","H13A55","R","Chihuahua","Ahumada"
"83768","080010056","201-5","304958","1062940","1210","H13A55","R","Chihuahua","Ahumada"
"83769","080010057","180-1","310102","1063856","1280","H13A45","R","Chihuahua","Ahumada"
"83770","080010058","253-2","302000","1064939","1290","H13A74","R","Chihuahua","Ahumada"
"83771","080010059","270-6","301012","1062651","1400","H13A85","R","Chihuahua","Ahumada"
"83772","080010060","","0","0","","","R","Chihuahua","Ahumada"
"83773","080010061","254-7","301552","1064541","1290","H13A74","R","Chihuahua","Ahumada"
"83774","080010062","","0","0","","","R","Chihuahua","Ahumada"
"83775","080010063","234-A","302937","1063232","1200","H13A75","R","Chihuahua","Ahumada"
"83776","080010064","271-0","301152","1062611","1380","H13A85","R","Chihuahua","Ahumada"
"83777","080010065","","0","0","","","R","Chihuahua","Ahumada"
"83778","080010066","","0","0","","","R","Chihuahua","Ahumada"
"83779","080010067","","0","0","","","R","Chihuahua","Ahumada"
"83780","080010068","292-2","300023","1060329","1460","H13A86","R","Chihuahua","Ahumada"
"83781","080010069","253-2","301630","1064643","1290","H13A74","R","Chihuahua","Ahumada"
"83782","080010070","234-A","302934","1063256","1220","H13A75","R","Chihuahua","Ahumada"
"83783","080010071","","0","0","","","R","Chihuahua","Ahumada"
"83784","080010072","275-9","301241","1060446","1420","H13A86","R","Chihuahua","Ahumada"
"83785","080010073","","0","0","","","R","Chihuahua","Ahumada"
"83786","080010074","","0","0","","","R","Chihuahua","Ahumada"
"83787","080010076","","0","0","","","R","Chihuahua","Ahumada"
"83788","080010077","","0","0","","","R","Chihuahua","Ahumada"
"83789","080010078","","0","0","","","R","Chihuahua","Ahumada"
"83790","080010079","253-2","301531","1064814","1290","H13A74","R","Chihuahua","Ahumada"
"83791","080010080","246-2","302720","1064127","1240","H13A74","R","Chihuahua","Ahumada"
"83792","080010081","254-7","301653","1064517","1290","H13A74","R","Chihuahua","Ahumada"
"83793","080010082","","0","0","","","R","Chihuahua","Ahumada"
"83794","080010084","","0","0","","","R","Chihuahua","Ahumada"
"83795","080010085","253-2","301845","1064605","1280","H13A74","R","Chihuahua","Ahumada"
"83796","080010086","222-7","303616","1065401","1210","H13A64","R","Chihuahua","Ahumada"
"83797","080010087","","0","0","","","R","Chihuahua","Ahumada"
"83798","080010088","","0","0","","","R","Chihuahua","Ahumada"
"83799","080010089","181-6","310022","1062840","1280","H13A45","R","Chihuahua","Ahumada"
"83800","080010090","185-4","305446","1064716","1200","H13A54","R","Chihuahua","Ahumada"
"83801","080010091","247-7","302530","1063150","1210","H13A75","R","Chihuahua","Ahumada"
"83802","080010092","196-2","305108","1062620","1230","H13A55","R","Chihuahua","Ahumada"
"83803","080010093","","0","0","","","R","Chihuahua","Ahumada"
"83804","080010094","225-0","303607","1061943","1400","H13A66","R","Chihuahua","Ahumada"
"83805","080010096","","0","0","","","R","Chihuahua","Ahumada"
"83806","080010097","272-5","300937","1062704","1420","H13A85","R","Chihuahua","Ahumada"
"83807","080010098","193-9","304733","1063252","1190","H13A55","R","Chihuahua","Ahumada"
"83808","080010099","","0","0","","","R","Chihuahua","Ahumada"
"83809","080010100","195-8","305018","1063328","1200","H13A55","R","Chihuahua","Ahumada"
"83810","080010101","","0","0","","","R","Chihuahua","Ahumada"
"83811","080010102","","0","0","","","R","Chihuahua","Ahumada"
"83812","080010105","","0","0","","","R","Chihuahua","Ahumada"
"83813","080010106","253-2","301400","1064931","1300","H13A84","R","Chihuahua","Ahumada"
"83814","080010108","223-1","303339","1065008","1250","H13A64","R","Chihuahua","Ahumada"
"83815","080010109","247-7","302809","1063411","1220","H13A75","R","Chihuahua","Ahumada"
"83816","080010110","253-2","301434","1064826","1300","H13A84","R","Chihuahua","Ahumada"
"83817","080010111","234-A","302943","1063302","1210","H13A75","R","Chihuahua","Ahumada"
"83818","080010112","","0","0","","","R","Chihuahua","Ahumada"
"83819","080010113","","0","0","","","R","Chihuahua","Ahumada"
"83820","080010115","234-A","303119","1063114","0000","H13A65","R","Chihuahua","Ahumada"
"83821","080010116","290-3","295723","1061437","1480","H13C16","R","Chihuahua","Ahumada"
"83822","080010117","","0","0","","","R","Chihuahua","Ahumada"
"83823","080010118","305-1","294417","1062915","1820","H13C25","R","Chihuahua","Ahumada"
"83824","080010119","262-1","302247","1053605","1204","H13A78","R","Chihuahua","Ahumada"
"83825","080010120","","0","0","","","R","Chihuahua","Ahumada"
"83826","080010121","209-1","303324","1064747","1230","H13A64","R","Chihuahua","Ahumada"
"83827","080010122","212-3","304408","1055138","1410","H13A67","R","Chihuahua","Ahumada"
