"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"45071","070010001","005-2","152022","0924027","0080","D15B31","U","Chiapas","Acacoyagua"
"45072","070010002","004-8","152101","0924131","0060","D15B31","R","Chiapas","Acacoyagua"
"45073","070010003","004-8","151929","0924055","0075","D15B31","R","Chiapas","Acacoyagua"
"45074","070010004","","0","0","","","R","Chiapas","Acacoyagua"
"45075","070010005","","0","0","","","R","Chiapas","Acacoyagua"
"45076","070010006","003-3","152328","0923929","0440","D15B32","R","Chiapas","Acacoyagua"
"45077","070010007","004-8","152018","0924248","0050","D15B31","R","Chiapas","Acacoyagua"
"45078","070010008","","0","0","","","R","Chiapas","Acacoyagua"
"45079","070010009","004-8","152331","0924431","0180","D15B31","R","Chiapas","Acacoyagua"
"45080","070010010","003-3","152740","0924134","1020","D15B31","R","Chiapas","Acacoyagua"
"45081","070010011","","0","0","","","R","Chiapas","Acacoyagua"
"45082","070010012","002-9","152606","0923917","0920","D15B32","R","Chiapas","Acacoyagua"
"45083","070010013","","0","0","","","R","Chiapas","Acacoyagua"
"45084","070010014","004-8","152105","0924426","0030","D15B31","R","Chiapas","Acacoyagua"
"45085","070010015","004-8","152308","0924323","0140","D15B31","R","Chiapas","Acacoyagua"
"45086","070010016","","0","0","","","R","Chiapas","Acacoyagua"
"45087","070010017","004-8","152114","0924053","0080","D15B31","R","Chiapas","Acacoyagua"
"45088","070010018","","0","0","","","R","Chiapas","Acacoyagua"
"45089","070010019","002-9","152405","0923914","0480","D15B32","R","Chiapas","Acacoyagua"
"45090","070010020","002-9","152253","0923730","0640","D15B32","R","Chiapas","Acacoyagua"
"45091","070010021","003-3","152431","0924222","0260","D15B31","R","Chiapas","Acacoyagua"
"45092","070010022","","0","0","","","R","Chiapas","Acacoyagua"
"45093","070010023","004-8","151956","0923920","0100","D15B32","R","Chiapas","Acacoyagua"
"45094","070010024","003-3","152422","0924106","0380","D15B31","R","Chiapas","Acacoyagua"
"45095","070010025","","0","0","","","R","Chiapas","Acacoyagua"
"45096","070010026","002-9","152725","0923747","2080","D15B32","R","Chiapas","Acacoyagua"
"45097","070010027","004-8","152043","0924124","0085","D15B31","R","Chiapas","Acacoyagua"
"45098","070010028","004-8","151919","0924100","0065","D15B31","R","Chiapas","Acacoyagua"
"45099","070010029","","0","0","","","R","Chiapas","Acacoyagua"
"45100","070010030","004-8","152255","0924047","0140","D15B31","R","Chiapas","Acacoyagua"
"45101","070010031","","0","0","","","R","Chiapas","Acacoyagua"
"45102","070010032","004-8","151944"," 924237","0080","D15B31","R","Chiapas","Acacoyagua"
"45103","070010033","004-8","152300","0924350","0170","D15B31","R","Chiapas","Acacoyagua"
"45104","070010034","004-8","152130","0923927","0120","D15B32","R","Chiapas","Acacoyagua"
"45105","070010035","","0","0","","","R","Chiapas","Acacoyagua"
"45106","070010036","004-8","152125","0923957","0120","D15B32","R","Chiapas","Acacoyagua"
"45107","070010037","004-8","152141","0923836","0150","D15B32","R","Chiapas","Acacoyagua"
"45108","070010038","004-8","152028","0924332","0040","D15B31","R","Chiapas","Acacoyagua"
"45109","070010039","003-3","152416","0924320","0320","D15B31","R","Chiapas","Acacoyagua"
"45110","070010040","002-9","152619","0923901","1000","D15B32","R","Chiapas","Acacoyagua"
"45111","070010042","","0","0","","","R","Chiapas","Acacoyagua"
"45112","070010043","","0","0","","","R","Chiapas","Acacoyagua"
"45113","070010044","","0","0","","","R","Chiapas","Acacoyagua"
"45114","070010045","003-3","152748","0923945","1280","D15B32","R","Chiapas","Acacoyagua"
"45115","070010046","","0","0","","","R","Chiapas","Acacoyagua"
"45116","070010047","003-3","152753","0924131","1370","D15B31","R","Chiapas","Acacoyagua"
"45117","070010048","003-3","152734","0924343","1180","D15B31","R","Chiapas","Acacoyagua"
"45118","070010049","","0","0","","","R","Chiapas","Acacoyagua"
"45119","070010050","003-3","152507","0924323","0260","D15B31","R","Chiapas","Acacoyagua"
"45120","070010051","","0","0","","","R","Chiapas","Acacoyagua"
"45121","070010052","003-3","152659","0924445","0640","D15B31","R","Chiapas","Acacoyagua"
