"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"189532","160010001","002-8","192934","1011957","2020","E14A33","U","Michoacán de Ocampo","Acuitzio"
"189533","160010002","003-2","192825","1012030","2120","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189534","160010003","001-3","193138","1011849","2040","E14A23","R","Michoacán de Ocampo","Acuitzio"
"189535","160010004","001-3","193031","1011955","2020","E14A23","R","Michoacán de Ocampo","Acuitzio"
"189536","160010005","004-7","192528","1011855","2240","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189537","160010006","004-7","192857","1011611","2280","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189538","160010007","003-2","192806","1012015","2140","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189539","160010008","001-3","193021","1011614","2260","E14A23","R","Michoacán de Ocampo","Acuitzio"
"189540","160010009","003-2","192447","1012135","2660","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189541","160010010","004-7","192702","1011839","2300","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189542","160010011","004-7","192712","1012008","2210","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189543","160010012","001-3","193050","1012030","2060","E14A22","R","Michoacán de Ocampo","Acuitzio"
"189544","160010013","004-7","192747","1011924","2260","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189545","160010014","001-3","192927","1011834","2000","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189546","160010015","001-3","193029","1011911","2040","E14A23","R","Michoacán de Ocampo","Acuitzio"
"189547","160010016","003-2","192704","1012024","2240","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189548","160010017","004-7","192823","1011703","2245","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189549","160010018","001-3","192948","1011716","2220","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189550","160010019","","0","0","","","R","Michoacán de Ocampo","Acuitzio"
"189551","160010020","001-3","192954","1012258","2220","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189552","160010021","001-3","192857","1012052","2160","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189553","160010022","001-3","192949","1011650","2220","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189554","160010023","001-3","192948","1011859","2040","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189555","160010024","003-2","192457","1012333","2800","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189556","160010025","003-2","192708","1012213","2600","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189557","160010026","003-2","192718","1012040","2270","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189558","160010027","004-7","192642","1011714","2240","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189559","160010028","004-0","192503","1011726","2140","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189560","160010029","","0","0","","","R","Michoacán de Ocampo","Acuitzio"
"189561","160010030","","0","0","","","R","Michoacán de Ocampo","Acuitzio"
"189562","160010031","003-2","192552","1012430","2860","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189563","160010032","003-2","192608","1012403","2840","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189564","160010033","003-2","192637","1012303","2780","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189565","160010034","004-7","192839","1011922","2100","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189566","160010035","001-3","193154","1012100","2020","E14A22","R","Michoacán de Ocampo","Acuitzio"
"189567","160010036","003-2","192616","1012135","2620","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189568","160010037","003-2","192845","1012137","2200","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189569","160010038","004-7","192730","1011804","2320","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189570","160010039","001-3","192951","1011803","2060","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189571","160010040","001-3","193005","1012101","2220","E14A22","R","Michoacán de Ocampo","Acuitzio"
"189572","160010041","003-2","192652","1012219","2640","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189573","160010042","004-7","192820","1011804","2240","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189574","160010043","004-7","192728","1011859","2180","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189575","160010044","004-7","192532","1011751","2250","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189576","160010045","001-3","193245","1011958","2020","E14A23","R","Michoacán de Ocampo","Acuitzio"
"189577","160010046","004-7","192859","1011904","2100","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189578","160010047","001-3","193056","1011758","2200","E14A23","R","Michoacán de Ocampo","Acuitzio"
"189579","160010048","001-3","192932","1011654","2220","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189580","160010049","001-3","193032","1012049","2120","E14A22","R","Michoacán de Ocampo","Acuitzio"
"189581","160010050","004-7","192735","1011715","2360","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189582","160010051","","0","0","","","R","Michoacán de Ocampo","Acuitzio"
"189583","160010053","001-3","192956","1012041","2200","E14A32","R","Michoacán de Ocampo","Acuitzio"
"189584","160010054","004-7","192827","1011950","2110","E14A33","R","Michoacán de Ocampo","Acuitzio"
"189585","160019901","","0","0","","","R","Michoacán de Ocampo","Acuitzio"
"189586","160020001","016-7","184410","1024715","0920","E13B67","U","Michoacán de Ocampo","Aguililla"
"189587","160020002","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189588","160020003","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189589","160020004","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189590","160020005","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189591","160020006","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189592","160020007","002-5","185611","1024726","0360","E13B57","R","Michoacán de Ocampo","Aguililla"
"189593","160020008","011-4","184304","1024114","1250","E13B67","R","Michoacán de Ocampo","Aguililla"
"189594","160020009","034-5","185930","1024239","0280","E13B57","U","Michoacán de Ocampo","Aguililla"
"189595","160020010","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189596","160020011","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189597","160020012","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189598","160020013","006-3","185010","1025143","1200","E13B57","R","Michoacán de Ocampo","Aguililla"
"189599","160020014","009-7","184545","1025223","1760","E13B57","R","Michoacán de Ocampo","Aguililla"
"189600","160020015","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189601","160020016","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189602","160020017","003-A","185731","1024031","0375","E13B57","R","Michoacán de Ocampo","Aguililla"
"189603","160020018","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189604","160020019","004-4","185208","1024926","0460","E13B57","R","Michoacán de Ocampo","Aguililla"
"189605","160020020","010-A","184428","1024105","1260","E13B67","R","Michoacán de Ocampo","Aguililla"
"189606","160020021","015-2","183040","1024700","0700","E13B67","R","Michoacán de Ocampo","Aguililla"
"189607","160020022","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189608","160020023","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189609","160020024","013-3","184128","1024322","0860","E13B67","R","Michoacán de Ocampo","Aguililla"
"189610","160020025","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189611","160020026","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189612","160020027","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189613","160020028","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189614","160020029","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189615","160020031","012-9","183900","1024745","0900","E13B67","R","Michoacán de Ocampo","Aguililla"
"189616","160020032","002-5","185753","1024500","0360","E13B57","R","Michoacán de Ocampo","Aguililla"
"189617","160020033","012-9","183725","1024722","0830","E13B67","R","Michoacán de Ocampo","Aguililla"
"189618","160020034","001-0","190141","1024152","0260","E13B47","R","Michoacán de Ocampo","Aguililla"
"189619","160020035","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189620","160020036","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189621","160020037","010-A","184638","1024535","0760","E13B57","R","Michoacán de Ocampo","Aguililla"
"189622","160020038","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189623","160020039","010-A","184558","1024551","0860","E13B57","R","Michoacán de Ocampo","Aguililla"
"189624","160020041","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189625","160020042","004-4","185350","1024847","0400","E13B57","R","Michoacán de Ocampo","Aguililla"
"189626","160020043","014-8","183524","1025202","1240","E13B67","R","Michoacán de Ocampo","Aguililla"
"189627","160020045","006-3","184811","1024839","0820","E13B57","R","Michoacán de Ocampo","Aguililla"
"189628","160020046","010-A","184617","1024706","0880","E13B57","R","Michoacán de Ocampo","Aguililla"
"189629","160020047","013-3","184358","1024712","0900","E13B67","R","Michoacán de Ocampo","Aguililla"
"189630","160020048","005-9","185238","1024207","0640","E13B57","R","Michoacán de Ocampo","Aguililla"
"189631","160020049","013-3","183923","1024332","1000","E13B67","R","Michoacán de Ocampo","Aguililla"
"189632","160020050","009-7","184212","1025248","1220","E13B67","R","Michoacán de Ocampo","Aguililla"
"189633","160020051","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189634","160020052","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189635","160020053","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189636","160020055","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189637","160020057","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189638","160020059","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189639","160020060","001-0","190240","1023832","0260","E13B48","R","Michoacán de Ocampo","Aguililla"
"189640","160020062","013-3","184045","1024357","0860","E13B67","R","Michoacán de Ocampo","Aguililla"
"189641","160020063","007-8","184856","1024558","0780","E13B57","R","Michoacán de Ocampo","Aguililla"
"189642","160020064","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189643","160020065","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189644","160020066","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189645","160020067","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189646","160020068","009-7","184540","1025033","1500","E13B57","R","Michoacán de Ocampo","Aguililla"
"189647","160020069","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189648","160020070","002-5","185608","1024415","0320","E13B57","R","Michoacán de Ocampo","Aguililla"
"189649","160020071","011-4","184411","1024002","1140","E13B67","R","Michoacán de Ocampo","Aguililla"
"189650","160020072","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189651","160020073","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189652","160020074","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189653","160020076","007-8","184819","1024113","0880","E13B57","R","Michoacán de Ocampo","Aguililla"
"189654","160020077","010-A","184511","1024524","0860","E13B57","R","Michoacán de Ocampo","Aguililla"
"189655","160020078","006-3","184822","1025531","2200","E13B57","R","Michoacán de Ocampo","Aguililla"
"189656","160020079","013-3","184022","1024103","1520","E13B67","R","Michoacán de Ocampo","Aguililla"
"189657","160020080","014-8","183723","1024917","1100","E13B67","R","Michoacán de Ocampo","Aguililla"
"189658","160020081","010-A","184519","1024555","0840","E13B57","R","Michoacán de Ocampo","Aguililla"
"189659","160020082","010-A","184457","1024046","1080","E13B67","R","Michoacán de Ocampo","Aguililla"
"189660","160020083","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189661","160020084","011-4","184340","1023949","1400","E13B68","R","Michoacán de Ocampo","Aguililla"
"189662","160020085","010-A","184552","1024723","0920","E13B57","R","Michoacán de Ocampo","Aguililla"
"189663","160020086","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189664","160020087","008-2","184812","1024025","0850","E13B57","R","Michoacán de Ocampo","Aguililla"
"189665","160020088","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189666","160020090","010-A","184208","1024412","0880","E13B67","R","Michoacán de Ocampo","Aguililla"
"189667","160020091","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189668","160020092","","0","0","","","R","Michoacán de Ocampo","Aguililla"
"189669","160020095","006-3","184823","1025024","1300","E13B57","R","Michoacán de Ocampo","Aguililla"
