"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"1","010010001","022-9","215251","1021746","1870","F13D19","U","Aguascalientes","Aguascalientes"
"2","010010063","004-0","220354","1021656","1870","F13B89","R","Aguascalientes","Aguascalientes"
"3","010010093","113-8","214553","1021659","1870","F13D19","R","Aguascalientes","Aguascalientes"
"4","010010094","106-8","215219","1022225","1900","F13D18","R","Aguascalientes","Aguascalientes"
"5","010010096","175-9","215303","1022127","1850","F13D18","R","Aguascalientes","Aguascalientes"
"6","010010097","111-9","215019","1020704","2005","F13D19","R","Aguascalientes","Aguascalientes"
"7","010010098","","0","0","","","R","Aguascalientes","Aguascalientes"
"8","010010099","","0","0","","","R","Aguascalientes","Aguascalientes"
"9","010010100","175-9","215111","1022217","1880","F13D18","R","Aguascalientes","Aguascalientes"
"10","010010101","005-5","220207","1020849","1940","F13B89","R","Aguascalientes","Aguascalientes"
"11","010010102","112-3","214649","1022126","1880","F13D18","R","Aguascalientes","Aguascalientes"
"12","010010104","190-3","215644","1021131","2030","F13D19","R","Aguascalientes","Aguascalientes"
"13","010010105","104-9","215319","1020907","2020","F13D19","R","Aguascalientes","Aguascalientes"
"14","010010106","176-3","214803","1021628","1890","F13D19","R","Aguascalientes","Aguascalientes"
"15","010010107","104-9","215325","1020511","2025","F13D19","R","Aguascalientes","Aguascalientes"
"16","010010108","","0","0","","","R","Aguascalientes","Aguascalientes"
"17","010010109","","0","0","","","R","Aguascalientes","Aguascalientes"
"18","010010110","","0","0","","","R","Aguascalientes","Aguascalientes"
"19","010010112","127-A","214452","1020726","1960","F13D29","R","Aguascalientes","Aguascalientes"
"20","010010113","113-8","214527","1021725","1870","F13D19","R","Aguascalientes","Aguascalientes"
"21","010010114","175-9","215104","1022123","1860","F13D18","R","Aguascalientes","Aguascalientes"
"22","010010115","","0","0","","","R","Aguascalientes","Aguascalientes"
"23","010010116","","0","0","","","R","Aguascalientes","Aguascalientes"
"24","010010117","","0","0","","","R","Aguascalientes","Aguascalientes"
"25","010010119","","0","0","","","R","Aguascalientes","Aguascalientes"
"26","010010120","125-0","214303","1021744","1810","F13D29","R","Aguascalientes","Aguascalientes"
"27","010010121","118-0","214629","1022447","1900","F13D18","R","Aguascalientes","Aguascalientes"
"28","010010122","009-2","214908","1020504","2000","F13D19","R","Aguascalientes","Aguascalientes"
"29","010010123","","0","0","","","R","Aguascalientes","Aguascalientes"
"30","010010124","175-9","215055","1022120","1860","F13D18","R","Aguascalientes","Aguascalientes"
"31","010010125","176-3","214656","1021411","1980","F13D19","R","Aguascalientes","Aguascalientes"
"32","010010126","189-0","220028","1021153","1910","F13B89","R","Aguascalientes","Aguascalientes"
"33","010010127","106-8","214654","1022803","1900","F13D18","R","Aguascalientes","Aguascalientes"
"34","010010128","175-9","215341","1022226","1880","F13D18","R","Aguascalientes","Aguascalientes"
"35","010010129","175-9","215307","1021924","1860","F13D19","R","Aguascalientes","Aguascalientes"
"36","010010130","","0","0","","","R","Aguascalientes","Aguascalientes"
"37","010010131","003-6","220350","1021314","1985","F13B89","R","Aguascalientes","Aguascalientes"
"38","010010132","012-5","215753","1021609","1920","F13D19","R","Aguascalientes","Aguascalientes"
"39","010010133","","0","0","","","R","Aguascalientes","Aguascalientes"
"40","010010134","","0","0","","","R","Aguascalientes","Aguascalientes"
"41","010010135","125-0","214158","1021839","1855","F13D29","R","Aguascalientes","Aguascalientes"
"42","010010136","","0","0","","","R","Aguascalientes","Aguascalientes"
"43","010010137","","0","0","","","R","Aguascalientes","Aguascalientes"
"44","010010138","117-6","214351","1022954","1860","F13D28","R","Aguascalientes","Aguascalientes"
"45","010010139","118-0","214356","1022713","1800","F13D28","R","Aguascalientes","Aguascalientes"
"46","010010140","","0","0","","","R","Aguascalientes","Aguascalientes"
"47","010010141","193-7","214931","1021408","1960","F13D19","R","Aguascalientes","Aguascalientes"
"48","010010142","","0","0","","","R","Aguascalientes","Aguascalientes"
"49","010010143","194-1","214232","1020600","2000","F13D29","R","Aguascalientes","Aguascalientes"
"50","010010144","191-8","215416","1021006","2020","F13D19","R","Aguascalientes","Aguascalientes"
"51","010010145","004-0","220205","1021800","1870","F13B89","R","Aguascalientes","Aguascalientes"
"52","010010146","191-8","215501","1021224","1960","F13D19","R","Aguascalientes","Aguascalientes"
"53","010010147","","0","0","","","R","Aguascalientes","Aguascalientes"
"54","010010148","105-3","215351","1015943","2005","F14C11","R","Aguascalientes","Aguascalientes"
"55","010010149","111-9","215250","1020327","2020","F13D19","R","Aguascalientes","Aguascalientes"
"56","010010150","014-4","215423","1020216","2020","F13D19","R","Aguascalientes","Aguascalientes"
"57","010010151","009-3","215452","1020316","2060","F13D19","R","Aguascalientes","Aguascalientes"
"58","010010152","","0","0","","","R","Aguascalientes","Aguascalientes"
"59","010010153","","0","0","","","R","Aguascalientes","Aguascalientes"
"60","010010154","","0","0","","","R","Aguascalientes","Aguascalientes"
"61","010010155","","0","0","","","R","Aguascalientes","Aguascalientes"
"62","010010156","005-4","215653","1020706","2010","F13D19","R","Aguascalientes","Aguascalientes"
"63","010010157","176-3","214525","1021559","1900","F13D19","R","Aguascalientes","Aguascalientes"
"64","010010159","","0","0","","","R","Aguascalientes","Aguascalientes"
"65","010010160","176-3","214529","1021542","1980","F13D19","R","Aguascalientes","Aguascalientes"
"66","010010161","","0","0","","","R","Aguascalientes","Aguascalientes"
