"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"214064","190010001","002-1","255643","1002356","0500","G14C15","U","Nuevo León","Abasolo"
"214065","190010002","001-7","255631","1002424","0500","G14C15","R","Nuevo León","Abasolo"
"214066","190010003","","0","0","","","R","Nuevo León","Abasolo"
"214067","190010005","","0","0","","","R","Nuevo León","Abasolo"
"214068","190010006","","0","0","","","R","Nuevo León","Abasolo"
"214069","190010007","","0","0","","","R","Nuevo León","Abasolo"
"214070","190010008","001-7","255614","1002247","0500","G14C15","R","Nuevo León","Abasolo"
"214071","190010009","001-7","255555","1002338","0500","G14C15","R","Nuevo León","Abasolo"
"214072","190010010","","0","0","","","R","Nuevo León","Abasolo"
"214073","190010011","001-7","255619","1002343","0500","G14C15","R","Nuevo León","Abasolo"
"214074","190010012","001-7","255659","1002427","0520","G14C15","R","Nuevo León","Abasolo"
"214075","190010013","","0","0","","","R","Nuevo León","Abasolo"
"214076","190010015","001-7","255704","1002430","0520","G14C15","R","Nuevo León","Abasolo"
"214077","190010017","001-7","255804","1002410","0580","G14C15","R","Nuevo León","Abasolo"
"214078","190010018","","0","0","","","R","Nuevo León","Abasolo"
"214079","190010019","001-7","255732","1002514","0520","G14C15","R","Nuevo León","Abasolo"
"214080","190010021","001-7","255619","1002435","0520","G14C15","R","Nuevo León","Abasolo"
"214081","190010023","","0","0","","","R","Nuevo León","Abasolo"
"214082","190010024","001-7","255601","1002425","0540","G14C15","R","Nuevo León","Abasolo"
"214083","190010025","001-7","255652","1002420","0500","G14C15","R","Nuevo León","Abasolo"
"214084","190010026","001-7","255639","1002437","0500","G14C15","R","Nuevo León","Abasolo"
"214085","190010028","001-7","255613","1002252","0500","G14C15","R","Nuevo León","Abasolo"
"214086","190010030","001-7","255612","1002244","0420","G14C15","R","Nuevo León","Abasolo"
"214087","190010031","001-7","255725","1002452","0520","G14C15","R","Nuevo León","Abasolo"
"214088","190010033","001-7","255629","1002550","0600","G14C15","R","Nuevo León","Abasolo"
"214089","190010034","001-7","255621","1002417","0510","G14C15","R","Nuevo León","Abasolo"
"214090","190010035","001-7","255639","1002434","0500","G14C15","R","Nuevo León","Abasolo"
"214091","190010036","001-7","255713","1002440","0510","G14C15","R","Nuevo León","Abasolo"
"214092","190010037","001-7","255706","1002433","0520","G14C15","R","Nuevo León","Abasolo"
"214093","190010038","001-7","255642","1002439","0500","G14C15","R","Nuevo León","Abasolo"
"214094","190010039","001-7","255731","1002506","0520","G14C15","R","Nuevo León","Abasolo"
"214095","190010040","001-7","255621","1002317","0520","G14C15","R","Nuevo León","Abasolo"
"214096","190010041","001-7","255629","1002550","0600","G14C15","R","Nuevo León","Abasolo"
"214097","190010042","001-7","255711","1002511","0520","G14C15","R","Nuevo León","Abasolo"
"214098","190010043","001-7","255735","1002503","0520","G14C15","R","Nuevo León","Abasolo"
"214099","190010044","","0","0","","","R","Nuevo León","Abasolo"
"214100","190010046","","0","0","","","R","Nuevo León","Abasolo"
"214101","190010047","","0","0","","","R","Nuevo León","Abasolo"
"214102","190020001","020-7","261839","0993221","0032","G14A78","U","Nuevo León","Agualeguas"
"214103","190020002","","0","0","","","R","Nuevo León","Agualeguas"
"214104","190020003","","0","0","","","R","Nuevo León","Agualeguas"
"214105","190020004","033-4","261751","0993959","0220","G14A78","R","Nuevo León","Agualeguas"
"214106","190020005","","0","0","","","R","Nuevo León","Agualeguas"
"214107","190020006","","0","0","","","R","Nuevo León","Agualeguas"
"214108","190020007","","0","0","","","R","Nuevo León","Agualeguas"
"214109","190020008","","0","0","","","R","Nuevo León","Agualeguas"
"214110","190020009","029-8","261955","0994955","0280","G14A77","R","Nuevo León","Agualeguas"
"214111","190020010","","0","0","","","R","Nuevo León","Agualeguas"
"214112","190020011","","0","0","","","R","Nuevo León","Agualeguas"
"214113","190020012","028-3","262018","0995225","0300","G14A77","R","Nuevo León","Agualeguas"
"214114","190020013","","0","0","","","R","Nuevo León","Agualeguas"
"214115","190020014","017-5","261228","0994411","0300","G14A87","R","Nuevo León","Agualeguas"
"214116","190020015","","0","0","","","R","Nuevo León","Agualeguas"
"214117","190020016","","0","0","","","R","Nuevo León","Agualeguas"
"214118","190020017","032-A","261534","0994551","0300","G14A77","R","Nuevo León","Agualeguas"
"214119","190020018","","0","0","","","R","Nuevo León","Agualeguas"
"214120","190020019","","0","0","","","R","Nuevo León","Agualeguas"
"214121","190020020","029-8","262213","0994957","0250","G14A77","R","Nuevo León","Agualeguas"
"214122","190020021","030-0","262302","0994656","0240","G14A77","R","Nuevo León","Agualeguas"
"214123","190020022","007-1","261822","0992816","0554","G14A78","R","Nuevo León","Agualeguas"
"214124","190020023","","0","0","","","R","Nuevo León","Agualeguas"
"214125","190020024","","0","0","","","R","Nuevo León","Agualeguas"
"214126","190020025","","0","0","","","R","Nuevo León","Agualeguas"
"214127","190020026","","0","0","","","R","Nuevo León","Agualeguas"
"214128","190020027","033-4","261701","0994301","0260","G14A77","R","Nuevo León","Agualeguas"
"214129","190020029","","0","0","","","R","Nuevo León","Agualeguas"
"214130","190020030","033-4","261602","0994246","0260","G14A77","R","Nuevo León","Agualeguas"
"214131","190020031","030-0","262138","0994652","0260","G14A77","R","Nuevo León","Agualeguas"
"214132","190020032","","0","0","","","R","Nuevo León","Agualeguas"
"214133","190020033","033-4","261850","0993951","0283","G14A78","R","Nuevo León","Agualeguas"
"214134","190020034","034-9","261307","0995127","0460","G14A87","R","Nuevo León","Agualeguas"
"214135","190020035","029-8","261819","0995242","0370","G14A77","R","Nuevo León","Agualeguas"
"214136","190020036","017-5","261432","0994204","0231","G14A87","R","Nuevo León","Agualeguas"
"214137","190020037","029-8","261635","0995028","0380","G14A77","R","Nuevo León","Agualeguas"
"214138","190020038","029-8","261728","0995116","0380","G14A77","R","Nuevo León","Agualeguas"
"214139","190020039","","0","0","","","R","Nuevo León","Agualeguas"
"214140","190020041","030-0","261927","0994657","0340","G14A77","R","Nuevo León","Agualeguas"
"214141","190020042","034-9","261322","0994703","0380","G14A87","R","Nuevo León","Agualeguas"
"214142","190020043","","0","0","","","R","Nuevo León","Agualeguas"
"214143","190020044","030-0","261946","0994724","0340","G14A77","R","Nuevo León","Agualeguas"
"214144","190020045","028-3","261811","0995505","0380","G14A77","R","Nuevo León","Agualeguas"
"214145","190020046","","0","0","","","R","Nuevo León","Agualeguas"
"214146","190020047","028-3","261922","0995211","0334","G14A77","R","Nuevo León","Agualeguas"
"214147","190020048","028-3","262104","0995443","0292","G14A77","R","Nuevo León","Agualeguas"
"214148","190020049","","0","0","","","R","Nuevo León","Agualeguas"
"214149","190020050","","0","0","","","R","Nuevo León","Agualeguas"
"214150","190020051","005-2","262027","0993245","0190","G14A78","R","Nuevo León","Agualeguas"
"214151","190020052","","0","0","","","R","Nuevo León","Agualeguas"
"214152","190020053","005-2","261854","0993325","0190","G14A78","R","Nuevo León","Agualeguas"
"214153","190020054","004-8","261837","0993404","0190","G14A78","R","Nuevo León","Agualeguas"
"214154","190020055","033-4","261805","0993935","0220","G14A78","R","Nuevo León","Agualeguas"
"214155","190020056","017-5","261242","0994429","0300","G14A87","R","Nuevo León","Agualeguas"
"214156","190020057","","0","0","","","R","Nuevo León","Agualeguas"
"214157","190020058","","0","0","","","R","Nuevo León","Agualeguas"
"214158","190020059","004-8","261736","0993625","0288","G14A78","R","Nuevo León","Agualeguas"
"214159","190020060","012-2","261751","0993329","0059","G14A78","R","Nuevo León","Agualeguas"
"214160","190020061","028-3","261909","0995233","0272","G14A77","R","Nuevo León","Agualeguas"
"214161","190020062","004-8","261831","0993412","0190","G14A78","R","Nuevo León","Agualeguas"
"214162","190020063","","0","0","","","R","Nuevo León","Agualeguas"
"214163","190020064","","0","0","","","R","Nuevo León","Agualeguas"
"214164","190020065","","0","0","","","R","Nuevo León","Agualeguas"
"214165","190020066","004-8","261715","0993701","0210","G14A78","R","Nuevo León","Agualeguas"
"214166","190020067","","0","0","","","R","Nuevo León","Agualeguas"
"214167","190020068","","0","0","","","R","Nuevo León","Agualeguas"
"214168","190020069","","0","0","","","R","Nuevo León","Agualeguas"
