"CLAVE","CVE_GEOEST","CVE_AGEB","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"123909","110010001","005-9","202704","1013144","1710","F14C72","U","Guanajuato","Abasolo"
"123910","110010002","003-A","203019","1013420","1690","F14C62","R","Guanajuato","Abasolo"
"123911","110010003","004-4","202611","1013016","1850","F14C72","R","Guanajuato","Abasolo"
"123912","110010004","","0","0","","","","Guanajuato","Abasolo"
"123913","110010005","002-5","203434","1013315","1690","F14C62","R","Guanajuato","Abasolo"
"123914","110010006","001-0","204058","1013445","1700","F14C62","R","Guanajuato","Abasolo"
"123915","110010008","","0","0","","","","Guanajuato","Abasolo"
"123916","110010010","001-0","204059","1013435","1700","F14C62","R","Guanajuato","Abasolo"
"123917","110010011","","0","0","","","R","Guanajuato","Abasolo"
"123918","110010012","002-5","203440","1013206","1700","F14C62","R","Guanajuato","Abasolo"
"123919","110010013","","0","0","","","","Guanajuato","Abasolo"
"123920","110010014","008-2","202104","1013759","1690","F14C72","R","Guanajuato","Abasolo"
"123921","110010015","007-8","202458","1012556","1720","F14C72","R","Guanajuato","Abasolo"
"123922","110010016","007-8","202627","1012323","1710","F14C72","R","Guanajuato","Abasolo"
"123923","110010017","","0","0","","","","Guanajuato","Abasolo"
"123924","110010018","008-2","202444","1013305","1750","F14C72","R","Guanajuato","Abasolo"
"123925","110010019","003-A","203107","1013238","1690","F14C62","R","Guanajuato","Abasolo"
"123926","110010020","","0","0","","","","Guanajuato","Abasolo"
"123927","110010022","","0","0","","","","Guanajuato","Abasolo"
"123928","110010023","002-5","203359","1013530","1690","F14C62","R","Guanajuato","Abasolo"
"123929","110010024","","0","0","","","","Guanajuato","Abasolo"
"123930","110010026","","0","0","","","","Guanajuato","Abasolo"
"123931","110010027","008-2","201942","1013703","1690","F14C72","R","Guanajuato","Abasolo"
"123932","110010028","001-0","203903","1013141","1710","F14C62","R","Guanajuato","Abasolo"
"123933","110010029","007-8","203000","1012535","1700","F14C72","R","Guanajuato","Abasolo"
"123934","110010030","","0","0","","","","Guanajuato","Abasolo"
"123935","110010031","","0","0","","","","Guanajuato","Abasolo"
"123936","110010032","003-A","203201","1013424","1690","F14C62","R","Guanajuato","Abasolo"
"123937","110010033","001-0","204029","1013400","1730","F14C62","R","Guanajuato","Abasolo"
"123938","110010034","003-A","202845","1013252","1700","F14C72","R","Guanajuato","Abasolo"
"123939","110010035","008-2","202508","1013310","1730","F14C72","R","Guanajuato","Abasolo"
"123940","110010036","008-2","202416","1013317","1740","F14C72","R","Guanajuato","Abasolo"
"123941","110010037","007-8","202759","1012629","1740","F14C72","R","Guanajuato","Abasolo"
"123942","110010038","","0","0","","","","Guanajuato","Abasolo"
"123943","110010039","002-5","203422","1012842","1710","F14C62","R","Guanajuato","Abasolo"
"123944","110010040","007-8","202321","1012450","1700","F14C72","R","Guanajuato","Abasolo"
"123945","110010041","","0","0","","","","Guanajuato","Abasolo"
"123946","110010042","","0","0","","","","Guanajuato","Abasolo"
"123947","110010043","","0","0","","","","Guanajuato","Abasolo"
"123948","110010044","004-4","203056","1013127","1700","F14C62","R","Guanajuato","Abasolo"
"123949","110010045","002-5","203418","1013409","1690","F14C62","R","Guanajuato","Abasolo"
"123950","110010046","003-A","203230","1013227","1700","F14C62","R","Guanajuato","Abasolo"
"123951","110010047","003-A","202859","1013340","1700","F14C72","R","Guanajuato","Abasolo"
"123952","110010048","","0","0","","","","Guanajuato","Abasolo"
"123953","110010049","003-A","202639","1013409","1690","F14C72","R","Guanajuato","Abasolo"
"123954","110010050","008-2","202527","1013527","1690","F14C72","R","Guanajuato","Abasolo"
"123955","110010051","004-4","202628","1012944","1850","F14C72","R","Guanajuato","Abasolo"
"123956","110010052","004-4","203102","1013043","1690","F14C62","R","Guanajuato","Abasolo"
"123957","110010053","","0","0","","","","Guanajuato","Abasolo"
"123958","110010054","","0","0","","","","Guanajuato","Abasolo"
"123959","110010055","002-5","203447","1013148","1690","F14C62","R","Guanajuato","Abasolo"
"123960","110010056","002-5","203737","1013036","1700","F14C62","R","Guanajuato","Abasolo"
